address,type,free,reserved,staked,delegated,unclaimed,total,multiplier,final,participation
tgE1Hu1SYB4XQ4GsUkgrT12rv6jhiRfpSQCbDtUBuqyVRgxXa,substrate,14333327846854544478558,75000000000000000000,14320000000000000000020,0,0,14408327846854544478558,1.00,14408327846854544850944,N+I
tgEWnPJZaNDRKfbPDnQ4xvm4ivaaWtr5KiZwfDp9MiTYZcLXT,substrate,1165000000000,0,0,0,0,1165000000000,1.00,1165000000000,-
tgHEKo59wDzCgd6vxXxB38PiW9fK5qeVLdnMRR1kLFEG9jGBz,substrate,428133581277752925762,0,0,0,0,428133581277752925762,1.00,428133581277752918016,-
tgFBGXGeosYLM8k8bhBxDJDMUogwuA6NiyE6MqT2KSC4a8uqh,substrate,29088526949610093161195636,0,10453811174610115417950398,20100000000000000000000,0,29088526949610093161195636,1.00,29088526949610093539229696,N+D
tgFpqVQZMmDKN4BkcD8i2UAAJyhqNQZtFRjn7qQb92nG15FKH,substrate,32694488337199435602,0,0,0,0,32694488337199435602,1.00,32694488337199435776,-
tgHQaQzHecX57AgnKC5MfTX99skDV8oJd1WTW1uvLknouStHw,substrate,240000000000000000000000,0,0,0,0,240000000000000000000000,1.00,240000000000000000000000,-
tgFpmrLwZy8HTY5m4fFJv7T1ZNkQuJyVyxLEv9mv2rgZr8uiD,substrate,92682332628947605353,0,0,0,0,92682332628947605353,1.00,92682332628947599360,-
tgGR3C21wzxBtRz1FEnnCcUosHg1E1ufzkTNCejQh14a1wRxu,substrate,131782754616223722662,20000000000000000000,98723354615923888829,100000000000000000000,0,151782754616223722662,1.00,151782754616223727616,V+O+D
tgHQAQ9dcFnd22y77s7kFgbLBVYzfN2V42FtQQrZVfon55oWc,substrate,1004016064257028112449,0,0,0,0,1004016064257028112449,1.00,1004016064257028128768,-
tgHXiANt4MoQBasBiK8Rb5zQUHidW7JTfegg62htF2X4rvQHV,substrate,3733589701926547400763,0,3230696725019136527807,0,0,3733589701926547400763,1.00,3733589701926547619840,N
tgCXe3XMAcqxNzaBoxK2sZcsVFyz4vtJTXQNtE3nkAUceEDuA,substrate,44134444109022669215,0,0,0,0,44134444109022669215,1.00,44134444109022666752,-
tgGwWLgqSC14gKNUFuZe8RGFZedimDX6kYDBHUdww9EZ7G1gm,substrate,8736531226252473801221,0,619347468239557837663,0,0,8736531226252473801221,1.00,8736531226252473794560,-
tgDecovmRcynT8CFxrZ3e7dKqvm4nkkJQquQUdzci9WeFgfSS,substrate,32211799455018986049,0,0,0,0,32211799455018986049,1.00,32211799455018987520,-
tgDL2ws3WMhWNkcsnhHMzW9NNP2nFRkDYrYZajeumFYwSyCkE,substrate,3254032564158241401286,0,0,0,0,3254032564158241401286,1.00,3254032564158241177600,-
tgCUTnGGnVk7oMfZX4HERQvktPiRqfw7utGyDAvJJz8hvDfdb,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgDHXLZuKgBQKQ62D1TDUxXeHepZ98Ja8URYRmTBt4uyP9CGY,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEc96h92xWpYj4VyAy2nQAWNq8ACnHFJatu1nHj3dSBQH8mB,substrate,4125931418455027929893,0,2886751476902547862941,0,0,4125931418455027929893,1.00,4125931418455027744768,N+D
tgHeixSAvDNeCc7Ab8o2sAhA4ZNHhMrVFGxNcHykydZWsqs6M,substrate,1599916000000000000,0,0,0,0,1599916000000000000,1.00,1599916000000000000,-
tgFPNeMShkHpQoidkKJvepWLwFMjLFNdgz6bjT5NUAVfq43PM,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgHaAUr6hd557nrTDkrAP59ai6AdZb6wa7mJS4oAGEJuCdDBS,substrate,2755073999999678777664,0,2755000000000000000000,0,0,2755073999999678777664,1.00,2755073999999678808064,N
tgFZDZcK4nPNaYr5vgkT2BJHH7amMBJhNabQvbJ6wgDjVPLm5,substrate,468168738097581330668,0,466859340031546101298,0,0,468168738097581330668,1.00,468168738097581326336,N
tgEQzm7bDoGiTScWzSfZo7BkB1k9ZTC97ToGwvgrmboWEyNT2,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgGQuAtup61XZo9SnDopaqg4SGWW6V9zA9TaiUNUiB8rQQHC7,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
